№ п/п;Столица;Государство
1;Амстердам;Нидерланды Нидерланды
2;Афины;Греция Греция
3;Белград;Сербия Сербия
4;Берлин;Германия Германия
5;Берн;Швейцария Швейцария
6;Братислава;Словакия Словакия
7;Брюссель;Бельгия Бельгия
8;Будапешт;Венгрия Венгрия
9;Бухарест;Румыния Румыния
10;Вадуц;Лихтенштейн Лихтенштейн
11;Валлетта;Мальта Мальта
12;Варшава;Польша Польша
13;Ватикан;Ватикан Ватикан
14;Вена;Австрия Австрия
15;Вильнюс;Литва Литва
16;Дублин;Ирландия
17;Загреб;Хорватия Хорватия
18;Киев;Украина Украина
19;Кишинёв;Молдавия Молдавия
20;Копенгаген;Дания Дания
21;Лиссабон;Португалия Португалия
22;Лондон;Великобритания Великобритания
23;Любляна;Словения Словения
24;Люксембург;Люксембург Люксембург
25;Мадрид;Испания Испания
26;Минск;Белоруссия Белоруссия
27;Монако;Монако Монако
28;Москва;Россия Россия
29;Осло;Норвегия Норвегия
30;Париж;Франция Франция
31;Прага;Чехия Чехия
32;Рейкьявик;Исландия Исландия
33;Рига;Латвия Латвия
34;Рим;Италия Италия
35;Сан-Марино;Сан-Марино Сан-Марино
36;Скопье;Македония Македония
37;София;Болгария Болгария
38;Стокгольм;Швеция Швеция
39;Таллин;Эстония Эстония
40;Тирана;Албания Албания
41;Хельсинки;Финляндия Финляндия
42;Тирасполь;Приднестровье Приднестровье
43;Амман;Иордания Иордания
44;Анкара;Турция Турция
45;Астана;Казахстан Казахстан
46;Ашхабад;Туркмения Туркмения
47;Багдад;Ирак Ирак
48;Баку;Азербайджан Азербайджан
49;Бангкок;Таиланд Таиланд
50;Бандар-Сери-Бегаван;Бруней Бруней
51;Бейрут;Ливан Ливан
52;Бишкек;Киргизия Киргизия
53;Дакка;Бангладеш Бангладеш
54;Дамаск;Сирия Сирия
55;Дели (Нью-Дели);Индия
56;Джакарта;Индонезия Индонезия
57;Дили;Восточный Тимор Восточный Тимор
58;Доха;Катар Катар
59;Душанбе;Таджикистан Таджикистан
60;Ереван;Армения Армения
61;Иерусалим;Израиль Израиль
62;Исламабад;Пакистан Пакистан
63;Кабул;Афганистан Афганистан
64;Катманду;Непал Непал
65;Куала-Лумпур;Малайзия Малайзия
66;Мале;Мальдивы Мальдивы
67;Манама;Бахрейн Бахрейн
68;Манила;Филиппины Филиппины
69;Маскат;Оман Оман
70;Нейпьидо;Мьянма Мьянма
71;Никосия;Кипр Кипр
72;Пекин;Китай Китай
73;Пномпень;Камбоджа Камбоджа
74;Сана;Йемен Йемен
75;Сеул;Республика Корея Республика Корея
76;Сингапур;Сингапур Сингапур
77;Ташкент;Узбекистан Узбекистан
78;Тбилиси;Грузия Грузия
79;Тегеран;Иран Иран
80;Токио;Япония Япония
81;Улан-Батор;Монголия Монголия
82;Ханой;Вьетнам Вьетнам
83;Сухум;Абхазия Абхазия
84;Абуджа;Нигерия Нигерия
85;Аддис-Абеба;Эфиопия Эфиопия
86;Алжир;Алжир Алжир
87;Антананариву;Мадагаскар Мадагаскар
88;Асмэра;Эритрея Эритрея
89;Бамако;Мали Мали
90;Банжул;Гамбия Гамбия
91;Бисау;Гвинея-Бисау Гвинея-Бисау
92;Бужумбура;Бурунди Бурунди
93;Виндхук;Намибия Намибия
94;Габороне;Ботсвана Ботсвана
95;Каир;Египет Египет
96;Кампала;Уганда Уганда
97;Найроби;Кения Кения
98;Асунсьон;Парагвай Парагвай
99;Бельмопан;Белиз Белиз
100;Богота;Колумбия Колумбия
101;Бриджтаун;Барбадос Барбадос
102;Буэнос-Айрес;Аргентина Аргентина
103;Вашингтон;США США
104;Гавана;Куба Куба
105;Гватемала;Гватемала Гватемала
106;Кито;Эквадор Эквадор
107;Лима;Перу Перу
108;Манагуа;Никарагуа Никарагуа
109;Мехико;Мексика Мексика
110;Монтевидео;Уругвай Уругвай
111;Сукре;Боливия Боливия
112;Веллингтон;Новая Зеландия Новая Зеландия
113;Канберра;Австралия Австралия
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
